"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 13:22:15 EDT 2022","Thu Aug 11 13:22:17 EDT 2022","1314","","Smoke Tests","","Smoke Tests","Validate Executive Dashboards Page","Validate Executive Dashboards Page",""
"passed","Tue Aug 09 20:35:33 EDT 2022","Tue Aug 09 20:35:33 EDT 2022","1","","Smoke Tests","","Smoke Tests","Fail Test on Purpose","Fail Test on Purpose",""
"passed","Tue Aug 09 20:35:33 EDT 2022","Tue Aug 09 20:35:33 EDT 2022","0","","Smoke Tests","","Smoke Tests","Validate Uncheck Account Payable Forecast Clients","Validate Uncheck Account Payable Forecast Clients",""
"passed","Thu Aug 11 13:22:17 EDT 2022","Thu Aug 11 13:22:19 EDT 2022","2449","","Smoke Tests","","Smoke Tests","Validate Accounting Dashboards Page","Validate Accounting Dashboards Page",""
"passed","Tue Aug 09 20:35:33 EDT 2022","Tue Aug 09 20:35:33 EDT 2022","3","","Smoke Tests","","Smoke Tests","Validate Uncheck Account Receivable Deposit Clients","Validate Uncheck Account Receivable Deposit Clients",""
"passed","Tue Aug 09 13:16:43 EDT 2022","Tue Aug 09 13:16:43 EDT 2022","4","","Smoke Tests","","Smoke Tests","Validate Dashboards Page","Validate Dashboards Page",""
"passed","Thu Aug 11 13:22:22 EDT 2022","Thu Aug 11 13:22:24 EDT 2022","2146","","Smoke Tests","","Smoke Tests","Validate Sales Dashboards Page","Validate Sales Dashboards Page",""
"passed","Thu Aug 11 13:22:19 EDT 2022","Thu Aug 11 13:22:22 EDT 2022","2549","","Smoke Tests","","Smoke Tests","Validate Fulfillment Dashboards Page","Validate Fulfillment Dashboards Page",""
"passed","Thu Aug 11 13:22:24 EDT 2022","Thu Aug 11 13:22:26 EDT 2022","2619","","Smoke Tests","","Smoke Tests","Validate Warehouse Dashboards Page","Validate Warehouse Dashboards Page",""
"passed","Thu Aug 11 13:22:08 EDT 2022","Thu Aug 11 13:22:15 EDT 2022","7350","","Smoke Tests","","Smoke Tests","Validate Login Success","Validate Login Success",""
